Logdir logdir\ndnf_dreamer_demo_anneal_s0
Create envs.
Simulate agent.
Encoder CNN shapes: {}
Encoder MLP shapes: {'symbolic': (147,)}
Decoder CNN shapes: {}
Decoder MLP shapes: {'symbolic': (147,)}
        39,632: rssm
       146,181: actor
       210,431: value
        78,335: reward
        13,057: cont
       170,240: encoder
       182,675: decoder
Optimizer has: 840551 parameters.
Evaluating the policy...
[0] episode/eval_score 0.0 / episode/eval_length 360.0
[23] episode/score 0.9 / episode/length 23.0
[40] episode/score 1.0 / episode/length 17.0
[55] episode/score 1.0 / episode/length 15.0
[66] train/opt/updates 0.0 / fps/fps 0.0
[71] episode/score 1.0 / episode/length 16.0
[86] episode/score 1.0 / episode/length 15.0
[96] episode/score 1.0 / episode/length 10.0
[117] episode/score 0.9 / episode/length 21.0
[132] episode/score 1.0 / episode/length 15.0
[146] episode/score 1.0 / episode/length 14.0
[158] episode/score 1.0 / episode/length 12.0
[181] episode/score 0.9 / episode/length 23.0
[196] episode/score 1.0 / episode/length 15.0
[212] episode/score 1.0 / episode/length 16.0
[229] episode/score 1.0 / episode/length 17.0
[245] episode/score 1.0 / episode/length 16.0
[261] episode/score 1.0 / episode/length 16.0
[284] episode/score 0.9 / episode/length 23.0
[293] episode/score 1.0 / episode/length 9.0
[317] episode/score 0.9 / episode/length 24.0
[334] episode/score 1.0 / episode/length 17.0
[352] episode/score 1.0 / episode/length 18.0
[374] episode/score 0.9 / episode/length 22.0
[383] episode/score 1.0 / episode/length 9.0
[415] episode/score 0.9 / episode/length 32.0
[424] episode/score 1.0 / episode/length 9.0
[443] episode/score 1.0 / episode/length 19.0
[462] episode/score 1.0 / episode/length 19.0
[481] episode/score 1.0 / episode/length 19.0
[500] episode/score 1.0 / episode/length 19.0
[518] episode/score 1.0 / episode/length 18.0
[532] episode/score 1.0 / episode/length 14.0
[547] episode/score 1.0 / episode/length 15.0
[557] episode/score 1.0 / episode/length 10.0
[579] episode/score 0.9 / episode/length 22.0
[597] episode/score 1.0 / episode/length 18.0
[619] episode/score 0.9 / episode/length 22.0
[638] episode/score 1.0 / episode/length 19.0
[657] episode/score 1.0 / episode/length 19.0
[672] episode/score 1.0 / episode/length 15.0
[686] episode/score 1.0 / episode/length 14.0
[706] episode/score 0.9 / episode/length 20.0
[719] episode/score 1.0 / episode/length 13.0
[744] episode/score 0.9 / episode/length 25.0
[761] episode/score 1.0 / episode/length 17.0
[772] episode/score 1.0 / episode/length 11.0
[787] episode/score 1.0 / episode/length 15.0
[801] episode/score 1.0 / episode/length 14.0
[813] episode/score 1.0 / episode/length 12.0
[822] episode/score 1.0 / episode/length 9.0
[849] episode/score 0.9 / episode/length 27.0
[863] episode/score 1.0 / episode/length 14.0
[876] episode/score 1.0 / episode/length 13.0
[886] episode/score 1.0 / episode/length 10.0
[899] episode/score 1.0 / episode/length 13.0
[911] episode/score 1.0 / episode/length 12.0
[931] episode/score 0.9 / episode/length 20.0
